iter	Passed	Remaining
0	136	136622
1	140	70332
2	147	48973
3	152	37865
4	156	31129
5	162	26869
6	164	23391
7	168	20895
8	174	19222
9	177	17563
10	181	16300
11	185	15271
12	188	14336
13	191	13483
14	194	12795
15	197	12156
16	200	11603
17	202	11068
18	206	10652
19	209	10284
20	212	9893
21	214	9540
22	216	9191
23	220	8984
24	224	8762
25	227	8531
26	229	8275
27	231	8047
28	234	7866
29	239	7746
30	242	7568
31	244	7393
32	247	7245
33	251	7137
34	253	6997
35	256	6873
36	259	6749
37	261	6612
38	263	6499
39	265	6375
40	271	6359
41	274	6251
42	276	6151
43	278	6054
44	280	5955
45	283	5878
46	285	5790
47	288	5731
48	291	5665
49	295	5613
50	298	5562
51	303	5530
52	307	5499
53	311	5450
54	314	5409
55	317	5347
56	320	5304
57	324	5277
58	329	5256
59	331	5199
60	333	5138
61	336	5089
62	339	5048
63	344	5037
64	346	4989
65	352	4985
66	356	4968
67	359	4923
68	361	4871
69	362	4821
70	366	4790
71	369	4756
72	372	4724
73	373	4676
74	377	4650
75	380	4620
76	382	4586
77	385	4561
78	388	4525
79	391	4499
80	393	4468
81	395	4429
82	396	4381
83	399	4352
84	401	4320
85	404	4300
86	408	4291
87	411	4260
88	414	4242
89	417	4223
90	421	4207
91	423	4177
92	427	4165
93	429	4138
94	432	4124
95	435	4100
96	437	4068
97	439	4048
98	441	4022
99	445	4008
100	449	4000
101	451	3977
102	455	3969
103	458	3946
104	461	3934
105	464	3916
106	468	3906
107	471	3891
108	475	3885
109	479	3881
110	482	3861
111	484	3842
112	487	3828
113	491	3816
114	494	3805
115	498	3796
116	500	3777
117	505	3775
118	509	3772
119	512	3756
120	514	3740
121	519	3737
122	521	3720
123	524	3704
124	527	3690
125	530	3681
126	533	3668
127	536	3654
128	539	3644
129	543	3637
130	547	3632
131	549	3615
132	552	3602
133	555	3586
134	558	3576
135	562	3575
136	565	3559
137	567	3547
138	570	3533
139	574	3528
140	577	3520
141	579	3500
142	583	3495
143	586	3487
144	589	3477
145	592	3465
146	594	3451
147	597	3441
148	599	3424
149	601	3408
150	605	3401
151	608	3392
152	610	3379
153	613	3368
154	616	3361
155	618	3346
156	621	3338
157	624	3330
158	627	3318
159	629	3304
160	630	3287
161	632	3274
162	636	3269
163	639	3261
164	642	3252
165	645	3242
166	647	3231
167	650	3219
168	652	3210
169	655	3200
170	658	3192
171	660	3180
172	663	3173
173	666	3165
174	670	3158
175	673	3152
176	675	3140
177	678	3133
178	681	3124
179	683	3115
180	687	3110
181	689	3097
182	691	3085
183	693	3076
184	696	3069
185	700	3065
